timestep	potential_energy	temperature
7800	2.022632414	0.2700576553
7900	4.019068478	0.2661734544
8000	2.501537867	0.4530128123
8100	3.196091371	0.3430727626
8200	3.288279655	0.3319598858
8300	2.467352958	0.3359254058
8400	3.706517834	0.2296728154
8500	2.817538952	0.2134216242
8600	2.078075218	0.2166300183
8700	1.95977018	0.1916378613
8800	3.027840697	0.1962935263
8900	2.096264751	0.199091941
9000	3.098050272	0.1374105105
9100	2.307245323	0.1391063331
9200	2.679501616	0.1238518834
9300	2.053185091	0.1828436706
9400	2.417076645	0.1384486131
9500	3.148873833	0.09221153441
9600	1.674235146	0.1242936508
9700	1.38363741	0.1178566868
9800	1.864403217	0.1570483225
9900	1.371855987	0.2132576474
10000	3.042562092	0.130224519
10100	2.039286456	0.1903912989
10200	1.555210354	0.2191591174
10300	1.846074021	0.1505925438
10400	2.812029495	0.131302367
10500	2.863279275	0.1360698685
10600	2.441356935	0.166232955
10700	1.025898056	0.1973451693
10800	1.521524303	0.1694376328
10900	1.558765766	0.1099284468
11000	1.028372453	0.1026495668
11100	0.8385807846	0.1165028684
11200	1.574193244	0.1087741221
11300	2.049572431	0.134093488
11400	1.921750736	0.1050944378
11500	2.030421242	0.0982957561
11600	1.521739795	0.1817109782
11700	1.073336311	0.1505884107
11800	2.153935659	0.1542218179
11900	1.775046458	0.1980476397
12000	1.964682104	0.2391502156
12100	2.244658606	0.1974201944
12200	2.446444376	0.1783361014
12300	2.424316107	0.2108587379
12400	1.81403527	0.2709519038
12500	2.610320072	0.149485215
12600	1.861528015	0.1704929214
12700	2.571260088	0.1256268901
12800	2.360571378	0.1595505667
12900	2.30465294	0.1704767383
13000	1.914675772	0.1696326372
13100	2.793013015	0.1052618457
13200	2.297633372	0.1433335526
13300	2.482109783	0.1643084511
13400	2.231593953	0.1470422991
13500	1.598416359	0.1439489865
13600	1.47021785	0.1422187454
13700	2.283840457	0.1081641822
13800	1.517967518	0.1383053414
13900	1.622417562	0.1645078071
14000	2.076461898	0.1467635829
14100	1.970890694	0.1249201351
14200	1.97182216	0.101827017
14300	2.370922214	0.1005426706
14400	1.87252348	0.1220457859
14500	1.124353271	0.1708178873
14600	2.274558692	0.1543361872
14700	2.346588871	0.2083128556
14800	2.566708655	0.1064935698
14900	1.760638185	0.2104581878
15000	2.401915647	0.2333089729
15100	2.798288468	0.1589900508
15200	2.954536695	0.107694776
15300	2.088530721	0.1792564366
15400	2.722143566	0.2210448809
15500	2.570437689	0.2349628349
15600	3.095069664	0.1820292687
15700	2.783007247	0.1803094639
15800	3.646994274	0.1655682558
15900	3.605842277	0.2524700806
16000	2.202433439	0.31497761
16100	3.390574587	0.244366221
16200	2.752897652	0.1960741917
16300	2.869219271	0.2339507583
16400	3.271496075	0.2178237714
16500	1.660638276	0.3157732446
16600	2.148781823	0.205520434
16700	2.043271726	0.1668298639
16800	1.203968612	0.1801301894
16900	2.639474049	0.09522136746
17000	1.906283907	0.1707222403
17100	1.903904839	0.1565014267
17200	1.380078814	0.1550324636
17300	2.142825977	0.1566805054
17400	2.071797472	0.2232260276
17500	1.397714364	0.208659935
17600	2.427373381	0.1379206842
17700	2.10526826	0.1124249451
17800	1.773457508	0.1905661507
17900	2.255889547	0.1512684395
18000	2.651427234	0.1210371955
18100	2.161662175	0.2135098837
18200	2.824319607	0.1671531951
18300	2.452372339	0.1959626926
18400	2.643842766	0.1866068101
18500	2.190874855	0.1792545017
18600	1.940244393	0.1847970716
18700	2.003637276	0.1611129608
18800	2.449308228	0.1154551759
18900	1.857771909	0.1329803546
19000	2.104386285	0.2033052142
19100	2.508930172	0.1410982875
19200	1.204454221	0.2662974333
19300	2.724489441	0.223702102
19400	3.222633856	0.1768041615
19500	2.017506764	0.1777298788
19600	1.719007715	0.2556556057
19700	2.467682464	0.2066600959
19800	2.079853534	0.233831811
19900	1.387343328	0.2588942117
20000	2.088471249	0.2266477018
20100	2.482921203	0.1990865267
20200	2.537677233	0.1687215642
20300	2.524964865	0.1664039441
20400	2.693935661	0.2049648662
20500	2.126808176	0.2338798146
20600	1.67099865	0.2089358718
20700	1.956068446	0.2737578488
20800	2.311499841	0.2975776267
20900	2.204311996	0.3130938116
21000	3.14370346	0.208013142
21100	2.551408237	0.2631101761
21200	3.151867423	0.2264710323
21300	2.646690233	0.2142205737
21400	2.814621617	0.205480498
21500	2.906979385	0.1439964757
21600	1.785527705	0.1787841048
21700	1.690031276	0.1570947994
21800	1.921140577	0.1877744189
21900	1.672638831	0.1911655488
22000	1.834374529	0.1883462639
22100	1.600716089	0.1766475308
22200	2.961555008	0.1196553243
22300	2.682689722	0.1401227316
22400	2.549398637	0.2104290394
22500	2.665820379	0.2157021925
22600	2.234558652	0.1404306667
22700	1.939177306	0.1566916864
22800	2.370757913	0.1495625489
22900	1.556098546	0.1634240813
23000	1.833870857	0.1421637063
23100	2.029522264	0.1690164412
23200	1.712570906	0.2238670003
23300	2.402503915	0.1809421001
23400	1.911825481	0.2436904977
23500	2.197197915	0.2736787301
23600	2.734582429	0.1687569883
23700	1.447288854	0.1886671916
23800	1.425159046	0.2045351248
23900	2.086840757	0.1975366509
24000	1.398562291	0.2551479922
24100	2.384708325	0.1480689914
24200	2.659599238	0.1836022775
24300	3.166291114	0.2161927048
24400	2.930765303	0.2269968622
24500	4.2638872	0.148486676
24600	3.113721128	0.200108102
24700	2.673966082	0.2562767161
24800	1.930919432	0.222633845
24900	2.788884202	0.177888429
25000	2.252050709	0.1692364064
25100	2.544272145	0.1520766694
25200	2.330193861	0.1753312276
25300	2.530890672	0.2152365353
25400	2.240766572	0.1935149833
25500	3.154183349	0.143469583
25600	1.8622921	0.2615077143
25700	1.738410935	0.341436887
25800	2.421053487	0.2139135364
25900	1.73510202	0.2562442189
26000	2.522258643	0.1399618944
26100	2.272904791	0.1875550722
26200	2.325529919	0.1543475384
26300	2.467941331	0.180761586
26400	1.92570829	0.2628248683
26500	2.670305467	0.219813886
26600	2.195287213	0.2291530863
26700	1.76286227	0.2321863937
26800	2.269862504	0.2280549334
26900	2.688819808	0.2291523099
27000	2.592005061	0.2182847061
27100	2.941426626	0.3140035613
27200	2.355492297	0.3003471008
27300	2.516031464	0.1491169632
27400	1.841765304	0.2427313917
27500	2.577656143	0.1965168442
27600	2.122833501	0.2024694264
27700	2.543397765	0.2152900271
27800	2.258179319	0.1688945698
27900	2.093511332	0.1582663453
28000	2.277729032	0.1454843783
28100	3.031448494	0.1813507486
28200	3.637134177	0.1960362964
28300	2.906344867	0.2192989142
28400	3.852995461	0.1571660882
28500	2.782636626	0.2298443545
28600	2.96619684	0.2219817457
28700	1.981776734	0.2140473282
28800	2.195522046	0.2217374612
28900	1.997485942	0.2663903241
29000	2.341731589	0.2267906703
29100	3.178179922	0.1440683541
